name,lambert_x,lambert_y
Weinmeisteralm,482373.51451245986,422836.80590105616
Wasserbauernreut,482373.51451245986,422836.80590105616
Lamberger,481126.04567567667,422819.2784212716
Kleines Warscheneck,481126.04567567667,422819.2784212716
Lettengraben,479877.8243254429,422802.0081243608
Tannberg,481126.04567567667,422819.2784212716
Pramfelder Reut,479877.8243254429,422802.0081243608
Stacherlhütte,479877.8243254429,422802.0081243608
Imitzberg,479877.8243254429,422802.0081243608
Zottensberg,478333.7227248515,423067.0020729508
Imitzgut,478428.29675956315,422717.74676085636
Fahrenberg,477528.4193533306,422017.9829316288
Stanglmühle,476966.6091690971,423380.36699221004
Gößwein,477655.7073303933,423536.41260718554
Mattersriegel,477017.5678404162,423660.35131515935
Gütl am Pichl,476764.25135762605,422882.5028698016
Mitterweng,476902.82896767283,422370.22493427154
Mühlbach,476102.605815513,421936.8454768928
Pieglmoos,475911.602763899,422970.35368060786
Gasthof Grundner,475953.68942204013,422213.0961336158
Plötschl,475029.1849709825,422349.10226836335
Eggerbauer,475274.8025635957,422005.086096067
Fuchsriegel,489889.8856544254,421093.0004928997
Eitelgraben,493634.8872902334,421152.0467811255
Kohlmannalm,492387.05697552394,421132.10485673323
Spitzenbergeralm,491138.47341226594,421112.4187435936
Sauboden,491138.47341226594,421112.4187435936
Kleinschoberbaueralm,489889.8856544254,421093.0004928997
Sagmauer,489889.8856544254,421093.0004928997
Fleischmauer,488642.0427660329,421073.8615131825
Vorderzwiesel,488642.0427660329,421073.8615131825
Peterbaueralm,487393.44679385447,421054.9788293587
Hinterzwiesel,487393.44679385447,421054.9788293587
Kampermauer,486144.84679945593,421036.3640106227
Simandlalm,487393.44679385447,421054.9788293587
Wirtshaus Puglalm,484896.99185405305,421018.0279835062
Laussabaueralm,486144.84679945593,421036.3640106227
Rotkreuzbach,486144.84679945593,421036.3640106227
Karbach,486144.84679945593,421036.3640106227
Rot-Kreuzkapelle,484896.99185405305,421018.0279835062
Hochsur,483648.38398993865,420999.9487368157
Inselbacheralm,483648.38398993865,420999.9487368157
Leopolden,482399.77227596816,420982.13735774625
Güßangergraben,482399.77227596816,420982.13735774625
Hüttgraben,481151.90579023317,420964.6042908216
Schwarzkogel,481151.90579023317,420964.6042908216
Buglreut,479903.28655117296,420947.32848874945
Pramkogelhütte,479903.28655117296,420947.32848874945
Lungbach,478389.03465271456,422296.58250026964
Winkler Bach,477357.4527345018,424622.9730502656
Schroflerreut,479903.28655117296,420947.32848874945
Winkl,478654.6636346218,420930.3205567207
Unterrannerreut,478654.6636346218,420930.3205567207
